,Scientific_Name,Common_Name,Species_Code,Order
0,Struthio camelus,Common Ostrich,ostric2,Struthioniformes
1,Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes
2,Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,Struthioniformes
3,Rhea americana,Greater Rhea,grerhe1,Rheiformes
4,Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes
5,Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,Rheiformes
6,Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,Rheiformes
7,Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes
8,Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes
9,Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,Tinamiformes
10,Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,Tinamiformes
11,Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes
12,Tinamus tao,Gray Tinamou,grytin1,Tinamiformes
13,Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes
14,Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes
15,Tinamus major,Great Tinamou,gretin1,Tinamiformes
16,Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes
17,Tinamus sp.,Tinamus sp.,tinamu1,Tinamiformes
18,Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes
19,Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes
20,Crypturellus soui,Little Tinamou,littin1,Tinamiformes
21,Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes
22,Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes
23,Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,Tinamiformes
24,Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,Tinamiformes
25,Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes
26,Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes
27,Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes
28,Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes
29,Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes
30,Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes
