Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Img_URL,Info_URL
Numenius madagascariensis,Far Eastern curlew,Far Eastern curlew,faecur,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Far_Eastern_Curlew_cairns_RWD2.jpg/220px-Far_Eastern_Curlew_cairns_RWD2.jpg,https://en.wikipedia.org/wiki/Far_Eastern_curlew
Charadrius dubius,Little ringed plover,Little ringed plover,lirplo,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Little_ringed_plover_%28Charadrius_dubius%29_Photograph_by_Shantanu_Kuveskar.jpg/220px-Little_ringed_plover_%28Charadrius_dubius%29_Photograph_by_Shantanu_Kuveskar.jpg,https://en.wikipedia.org/wiki/Little_ringed_plover
Motacilla tschutschensis,Eastern yellow wagtail,Eastern yellow wagtail,eaywag,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Motacilla_tschutschensis%2C_Tomohon%2C_North_Sulawesi.jpg/220px-Motacilla_tschutschensis%2C_Tomohon%2C_North_Sulawesi.jpg,https://en.wikipedia.org/wiki/Eastern_yellow_wagtail
Acridotheres tristis,Common myna,Common myna,commyn,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Indian_Myna.JPG/220px-Indian_Myna.JPG,https://en.wikipedia.org/wiki/Common_myna
Chaetoptila angustipluma,Kioea,Kioea,kioea,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Chaetoptila_angustipluma.jpg/250px-Chaetoptila_angustipluma.jpg,https://en.wikipedia.org/wiki/Kioea
Chloroceryle americana,Green kingfisher,Green kingfisher,grnkin,Coraciiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Green_kingfisher_%28Chloroceryle_americana%29_male.JPG/220px-Green_kingfisher_%28Chloroceryle_americana%29_male.JPG,https://en.wikipedia.org/wiki/Green_kingfisher
Empidonomus aurantioatrocristatus,Crowned slaty flycatcher,Crowned slaty flycatcher,croslf1,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Griseotyrannus_aurantioatrocristatus_-_Crowned_slaty_flycatcher.JPG/220px-Griseotyrannus_aurantioatrocristatus_-_Crowned_slaty_flycatcher.JPG,https://en.wikipedia.org/wiki/Crowned_slaty_flycatcher
Acrocephalus dumetorum,Blyths reed warbler,Blyth's reed warbler,blrwar1,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg/220px-Blyth%27s_Reed_Warbler_I2_IMG_9417.jpg,https://en.wikipedia.org/wiki/Blyth%27s_reed_warbler
Jabiru mycteria,Jabiru,Jabiru,jabiru,Ciconiiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Jabiru_%28Jabiru_mycteria%29_2.JPG/220px-Jabiru_%28Jabiru_mycteria%29_2.JPG,https://en.wikipedia.org/wiki/Jabiru
Geotrygon chrysia,Key West quail-dove,Key West quail-dove,kwqdov,Columbiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Key_West_quail-dove_%28Geotrygon_chrysia%29.JPG/220px-Key_West_quail-dove_%28Geotrygon_chrysia%29.JPG,https://en.wikipedia.org/wiki/Key_West_quail-dove
Buteogallus anthracinus,Common black hawk,Common black hawk,comblh1,Accipitriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Common_black-hawk_%28Buteogallus_anthracinus_gundlachii%29.JPG/220px-Common_black-hawk_%28Buteogallus_anthracinus_gundlachii%29.JPG,https://en.wikipedia.org/wiki/Common_black_hawk
Phalaropus fulicarius,Red phalarope,Red phalarope,redpha1,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Phalaropus_fulicarius_10.jpg/220px-Phalaropus_fulicarius_10.jpg,https://en.wikipedia.org/wiki/Red_phalarope
Pterodroma feae,Feas petrel,Fea's petrel,feapet1,Procellariiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Feas_Petrel_From_The_Crossley_ID_Guide_Eastern_Birds.jpg/250px-Feas_Petrel_From_The_Crossley_ID_Guide_Eastern_Birds.jpg,https://en.wikipedia.org/wiki/Fea%27s_petrel
Mergellus albellus,Smew,Smew,smew,Anseriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Zwergsaeger_maenchen_weibchen.jpg/220px-Zwergsaeger_maenchen_weibchen.jpg,https://en.wikipedia.org/wiki/Smew
Charadrius hiaticula,Common ringed plover,Common ringed plover,corplo,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Charadrius_hiaticula_tundrae_Varanger.jpg/220px-Charadrius_hiaticula_tundrae_Varanger.jpg,https://en.wikipedia.org/wiki/Common_ringed_plover
Milvus migrans,Black kite,Black kite,blakit1,Accipitriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Schwarzmilan.jpg/220px-Schwarzmilan.jpg,https://en.wikipedia.org/wiki/Black_kite
Gallinago stenura,Pin-tailed snipe,Pin-tailed snipe,pitsni,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Gallinago_stenura_-_Laem_Pak_Bia.jpg/220px-Gallinago_stenura_-_Laem_Pak_Bia.jpg,https://en.wikipedia.org/wiki/Pin-tailed_snipe
Calidris pugnax,Ruff,Ruff,ruff,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Philomachus_pugnax_-Diergaarde_Blijdorp-8c.jpg/220px-Philomachus_pugnax_-Diergaarde_Blijdorp-8c.jpg,https://en.wikipedia.org/wiki/Ruff
Ianthocincla pectoralis,Greater necklaced laughingthrush,Greater necklaced laughingthrush,gnlthr,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Garrulax_pectoralis_-_Kaeng_Krachan.jpg/220px-Garrulax_pectoralis_-_Kaeng_Krachan.jpg,https://en.wikipedia.org/wiki/Greater_necklaced_laughingthrush
Calidris temminckii,Temmincks stint,Temminck's stint,temsti,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Temmincks_Stint.jpg/220px-Temmincks_Stint.jpg,https://en.wikipedia.org/wiki/Temminck%27s_stint
Streptopelia chinensis,Spotted dove,Spotted dove,spodov,Columbiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Spotted_dove_%28Spilopelia_chinensis_suratensis%29.jpg/220px-Spotted_dove_%28Spilopelia_chinensis_suratensis%29.jpg,https://en.wikipedia.org/wiki/Spotted_dove
Acrocephalus familiaris,Millerbird,Millerbird,miller,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Acrocephalus_familiaris_-Laysan%2C_Northwestern_Hawaiian_Islands%2C_USA-8.jpg/220px-Acrocephalus_familiaris_-Laysan%2C_Northwestern_Hawaiian_Islands%2C_USA-8.jpg,https://en.wikipedia.org/wiki/Millerbird
Fulica atra,Eurasian coot,Eurasian coot,eurcoo,Gruiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Fulica_atra%2C_Bl%C3%A4sshuhn_am_Adenauer-Weiher.jpg/220px-Fulica_atra%2C_Bl%C3%A4sshuhn_am_Adenauer-Weiher.jpg,https://en.wikipedia.org/wiki/Eurasian_coot
Dendrocopos major,Great spotted woodpecker,Great spotted woodpecker,grswoo,Piciformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Grote_bonte_specht.JPG/220px-Grote_bonte_specht.JPG,https://en.wikipedia.org/wiki/Great_spotted_woodpecker
Myadestes palmeri,Puaiohi,Puaiohi,puaioh,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Myadestes_palmeri.jpg/240px-Myadestes_palmeri.jpg,https://en.wikipedia.org/wiki/Puaiohi
Loxioides bailleui,Palila,Palila,palila,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/LoxioidesBailleuiKeulemans.jpg/220px-LoxioidesBailleuiKeulemans.jpg,https://en.wikipedia.org/wiki/Palila
Coccothraustes coccothraustes,Hawfinch,Hawfinch,hawfin,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg/220px-Coccothraustes_coccothraustes_Parco_Della_Piana_around_Firenze%2C_Italy.jpg,https://en.wikipedia.org/wiki/Hawfinch
Amazilia rutila,Cinnamon hummingbird,Cinnamon hummingbird,cinhum1,Caprimulgiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Cinnamon_Hummingbird_-_Mexico_S4E8524.jpg/220px-Cinnamon_Hummingbird_-_Mexico_S4E8524.jpg,https://en.wikipedia.org/wiki/Cinnamon_hummingbird
Psittacara holochlorus,Green parakeet,Green parakeet,grnpar,Psittaciformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Green_Parakeet_-in_tree_-South_Texas-8.jpg/220px-Green_Parakeet_-in_tree_-South_Texas-8.jpg,https://en.wikipedia.org/wiki/Green_parakeet
Akialoa obscura,Lesser akialoa,Lesser akialoa,lesaki,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Hemignathus_obscurus_%28Gmel.%29%2C_female%2C_Bishop_Museum%2C_Honolulu.JPG/220px-Hemignathus_obscurus_%28Gmel.%29%2C_female%2C_Bishop_Museum%2C_Honolulu.JPG,https://en.wikipedia.org/wiki/Lesser_%CA%BBakialoa
Colibri thalassinus,Mexican violetear,Mexican violetear,grnvie1,Caprimulgiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/GreenVioletear.jpg/220px-GreenVioletear.jpg,https://en.wikipedia.org/wiki/Mexican_violetear
Zenaida aurita,Zenaida dove,Zenaida dove,zendov,Columbiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Zenaida_dove_%28Zenaida_aurita%29_male.JPG/220px-Zenaida_dove_%28Zenaida_aurita%29_male.JPG,https://en.wikipedia.org/wiki/Zenaida_dove
Anser erythropus,Lesser White-fronted Goose,Lesser white-fronted goose,lwfgoo,Anseriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Anser_erythropus.jpg/220px-Anser_erythropus.jpg,https://en.wikipedia.org/wiki/Lesser_white-fronted_goose
Turdus pilaris,Fieldfare,Fieldfare,fieldf,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Turdus_pilaris2.jpg/220px-Turdus_pilaris2.jpg,https://en.wikipedia.org/wiki/Fieldfare
Motacilla alba,White wagtail,White wagtail,whiwag,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/White_wagtail_female_first_summer.jpg/220px-White_wagtail_female_first_summer.jpg,https://en.wikipedia.org/wiki/White_wagtail
Francolinus francolinus,Black francolin,Black francolin,blkfra,Galliformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Black_Francolin.jpg/220px-Black_Francolin.jpg,https://en.wikipedia.org/wiki/Black_francolin
Melanotis caerulescens,Blue mockingbird,Blue mockingbird,blumoc,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Blue_Mockingbird.jpg/220px-Blue_Mockingbird.jpg,https://en.wikipedia.org/wiki/Blue_mockingbird
Gracula religiosa,Common hill myna,Common hill myna,hilmyn,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/220px-Gracula_religiosa_robusta-01.JPG,https://en.wikipedia.org/wiki/Common_hill_myna
Stercorarius maccormicki,South polar skua,South polar skua,sopsku1,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/South_polar_skua.jpg/220px-South_polar_skua.jpg,https://en.wikipedia.org/wiki/South_polar_skua
Egretta garzetta,Little egret,Little egret,litegr,Pelecaniformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Little_Egret_in_shallows.jpg/220px-Little_Egret_in_shallows.jpg,https://en.wikipedia.org/wiki/Little_egret
Spatula querquedula,Garganey,Garganey,gargan,Anseriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Garganey_%28Anas_querquedula%29_RWD3.jpg/220px-Garganey_%28Anas_querquedula%29_RWD3.jpg,https://en.wikipedia.org/wiki/Garganey
Heliornis fulica,Sungrebe,Sungrebe,sungre1,Gruiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Sungrebe.jpg/220px-Sungrebe.jpg,https://en.wikipedia.org/wiki/Sungrebe
Tarsiger cyanurus,Red-flanked bluetail,Red-flanked bluetail,refblu,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Tarsiger_cyanurus.jpg/220px-Tarsiger_cyanurus.jpg,https://en.wikipedia.org/wiki/Red-flanked_bluetail
Coereba flaveola,Bananaquit,Bananaquit,banana,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Bananaquits.jpg/220px-Bananaquits.jpg,https://en.wikipedia.org/wiki/Bananaquit
Horornis diphone,Japanese bush warbler,Japanese bush warbler,jabwar,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Cettia_diphone_%28crying%29.JPG/220px-Cettia_diphone_%28crying%29.JPG,https://en.wikipedia.org/wiki/Japanese_bush_warbler
Turdus iliacus,Redwing,Redwing,redwin,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Redwing_Turdus_iliacus.jpg/220px-Redwing_Turdus_iliacus.jpg,https://en.wikipedia.org/wiki/Redwing
Crex crex,Corn crake,Corn crake,corcra,Gruiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Corncrake2.jpg/220px-Corncrake2.jpg,https://en.wikipedia.org/wiki/Corn_crake
Gygis alba,White tern,White tern,whiter,Charadriiformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Gygis_alba_01.jpg/220px-Gygis_alba_01.jpg,https://en.wikipedia.org/wiki/White_tern
Fringilla montifringilla,Brambling,Brambling,brambl,Passeriformes,no audio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Fringilla_montifringilla_-Poland_-male-8.jpg/220px-Fringilla_montifringilla_-Poland_-male-8.jpg,https://en.wikipedia.org/wiki/Brambling
