SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,ORDER
Struthio camelus,Common Ostrich,ostric2,Struthioniformes
Struthio molybdophanes,Somali Ostrich,ostric3,Struthioniformes
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,Struthioniformes
Rhea americana,Greater Rhea,grerhe1,Rheiformes
Rhea pennata,Lesser Rhea,lesrhe2,Rheiformes
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,Rheiformes
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,Rheiformes
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,Tinamiformes
Nothocercus bonapartei,Highland Tinamou,higtin1,Tinamiformes
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,Tinamiformes
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,Tinamiformes
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,Tinamiformes
Tinamus tao,Gray Tinamou,grytin1,Tinamiformes
Tinamus solitarius,Solitary Tinamou,soltin1,Tinamiformes
Tinamus osgoodi,Black Tinamou,blatin1,Tinamiformes
Tinamus major,Great Tinamou,gretin1,Tinamiformes
Tinamus guttatus,White-throated Tinamou,whttin1,Tinamiformes
Tinamus sp.,Tinamus sp.,tinamu1,Tinamiformes
Crypturellus cinereus,Cinereous Tinamou,cintin1,Tinamiformes
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,Tinamiformes
Crypturellus soui,Little Tinamou,littin1,Tinamiformes
Crypturellus ptaritepui,Tepui Tinamou,teptin1,Tinamiformes
Crypturellus obsoletus,Brown Tinamou,brotin1,Tinamiformes
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,Tinamiformes
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,Tinamiformes
Crypturellus undulatus,Undulated Tinamou,undtin1,Tinamiformes
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,Tinamiformes
Crypturellus strigulosus,Brazilian Tinamou,bratin1,Tinamiformes
Crypturellus duidae,Gray-legged Tinamou,gyltin1,Tinamiformes
Crypturellus erythropus,Red-legged Tinamou,reltin1,Tinamiformes
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,Tinamiformes
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,Tinamiformes
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,Tinamiformes
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Tinamiformes
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,Tinamiformes
Crypturellus kerriae,Choco Tinamou,chotin1,Tinamiformes
Crypturellus variegatus,Variegated Tinamou,vartin1,Tinamiformes
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,Tinamiformes
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,Tinamiformes
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,Tinamiformes
Crypturellus brevirostris,Rusty Tinamou,rustin1,Tinamiformes
Crypturellus bartletti,Bartlett's Tinamou,bartin2,Tinamiformes
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Tinamiformes
Crypturellus casiquiare,Barred Tinamou,bartin1,Tinamiformes
Crypturellus tataupa,Tataupa Tinamou,tattin1,Tinamiformes
Crypturellus sp.,Crypturellus sp.,cryptu1,Tinamiformes
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Tinamiformes
Rhynchotus maculicollis,Huayco Tinamou,huatin1,Tinamiformes
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,Tinamiformes
Nothoprocta ornata,Ornate Tinamou,orntin1,Tinamiformes
Nothoprocta perdicaria,Chilean Tinamou,chitin1,Tinamiformes
Nothoprocta cinerascens,Brushland Tinamou,brutin1,Tinamiformes
Nothoprocta pentlandii,Andean Tinamou,andtin1,Tinamiformes
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,Tinamiformes
