SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Struthio camelus,Common Ostrich,ostric2,species,3.0,COOS,STCA,,Struthioniformes,Ostriches,Struthionidae,,,
Struthio molybdophanes,Somali Ostrich,ostric3,species,5.0,SOOS,STMO,,Struthioniformes,Ostriches,Struthionidae,,,
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,6.0,SOOS COOS,STCA STMO,,Struthioniformes,Ostriches,Struthionidae,,,
Rhea americana,Greater Rhea,grerhe1,species,7.0,GRRH,RHAM,,Rheiformes,Rheas,Rheidae,,,
Rhea pennata,Lesser Rhea,lesrhe2,species,13.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,,,
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,14.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,17.0,LERH,RHPE,,Rheiformes,Rheas,Rheidae,lesrhe2,,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,32.0,TBTI,NOJU,,Tinamiformes,Tinamous,Tinamidae,,,
Nothocercus bonapartei,Highland Tinamou,higtin1,species,33.0,,NOBO,HITI,Tinamiformes,Tinamous,Tinamidae,,,
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,34.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,39.0,HITI,NOBO,,Tinamiformes,Tinamous,Tinamidae,higtin1,,
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,40.0,HOTI,NONI,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus tao,Gray Tinamou,grytin1,species,43.0,GRTI,TITA,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus solitarius,Solitary Tinamou,soltin1,species,48.0,SOTI,TISO,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus osgoodi,Black Tinamou,blatin1,species,49.0,BLTI,TIOS,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus major,Great Tinamou,gretin1,species,52.0,,TIMA,GRTI,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus guttatus,White-throated Tinamou,whttin1,species,65.0,WTTI,TIGU,,Tinamiformes,Tinamous,Tinamidae,,,
Tinamus sp.,Tinamus sp.,tinamu1,spuh,66.0,,,,Tinamiformes,Tinamous,Tinamidae,,,
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,67.0,CITI,CRCI,,Tinamiformes,Tinamous,Tinamidae,,,
