Scientific_Name,Common_Name,Common_Name2,Species_Code,Order,Audio_URL,Image_URL,Link_URL,us
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,bbwduc,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521823.mp3,s3.amazonaws.com/com-aab-media/photo/75260001-1280px.jpg,https://www.allaboutbirds.org/guide/Black-bellied_Whistling-Duck,0
Branta bernicla,Brant,Brant,brant,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521829.mp3,s3.amazonaws.com/com-aab-media/photo/75266691-1280px.jpg,https://www.allaboutbirds.org/guide/Brant,0
Dendrocygna bicolor,Fulvous Whistling-Duck,Fulvous Whistling-Duck,fuwduc,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521824.mp3,s3.amazonaws.com/com-aab-media/photo/75360781-1280px.jpg,https://www.allaboutbirds.org/guide/Fulvous_Whistling-Duck,0
Aythya americana,Redhead,Redhead,redhea,Anseriformes,https://s3.amazonaws.com/com-aab-media/sound/521870.mp3,s3.amazonaws.com/com-aab-media/photo/75714891-1280px.jpg,https://www.allaboutbirds.org/guide/Redhead,0
Melozone aberti,Aberts towhee,Abert's towhee,abetow,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/523001.mp3,s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg,https://www.allaboutbirds.org/guide/Aberts_towhee,1
Empidonax virescens,Acadian flycatcher,Acadian flycatcher,acafly,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522539.mp3,s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg,https://www.allaboutbirds.org/guide/Acadian_flycatcher,1
Melanerpes formicivorus,Acorn woodpecker,Acorn woodpecker,acowoo,Piciformes,https://s3.amazonaws.com/com-aab-media/sound/522444.mp3,s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg,https://www.allaboutbirds.org/guide/Acorn_woodpecker,1
Setophaga adelaidae,Adelaides warbler,Adelaide's warbler,adewar1,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/Adelaides_warbler.jpg?itok=Q7Wr34N7,https://www.hbw.com/species/adelaides-warbler-setophaga-adelaidae#Taxonomy,1
Euodice cantans,African silverbill,African silverbill,afrsil1,Passeriformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/b21a6645c.jpg?itok=nfYOiOIo,https://www.hbw.com/species/african-silverbill-euodice-cantans#Taxonomy,1
Saxicola torquatus,African stonechat,African stonechat,afrsto1,Passeriformes,no audio,//upload.wikimedia.org/wikipedia/commons/thumb/d/de/Saxicola_torquatus_-South_Africa_-male-8_%283%29.jpg/220px-Saxicola_torquatus_-South_Africa_-male-8_%283%29.jpg,https://en.wikipedia.org/wiki/African_stonechat,1
Empidonax alnorum,Alder flycatcher,Alder flycatcher,aldfly,Passeriformes,https://s3.amazonaws.com/com-aab-media/sound/522541.mp3,s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg,https://www.allaboutbirds.org/guide/Alder_flycatcher,1
Onychoprion aleuticus,Aleutian tern,Aleutian tern,aleter1,Charadriiformes,no audio,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/1683_20160531_2_1000.jpg?itok=K3Ol6yvN,https://www.hbw.com/species/aleutian-tern-onychoprion-aleuticus#Taxonomy,1
