COMMON_NAME,dl,COMMON_NAME_Original
Barrows goldeneye,0,Barrow's goldeneye
Gambels quail,0,Gambel's quail
Rosss goose,0,Ross's goose
Stellers eider,0,Steller's eider
Barn swallow,0,Barn swallow
Black rail,0,Black rail
Bluethroat,0,Bluethroat
Buff-collared nightjar,0,Buff-collared nightjar
Burrowing owl,0,Burrowing owl
California gnatcatcher,0,California gnatcatcher
California towhee,0,California towhee
Christmas shearwater,0,Christmas shearwater
Common crane,0,Common crane
Common hill myna,0,Common hill myna
Common myna,0,Common myna
Common rosefinch,0,Common rosefinch
Eastern whip-poor-will,0,Eastern whip-poor-will
Elegant trogon,0,Elegant trogon
Eurasian siskin,0,Eurasian siskin
Evening grosbeak,0,Evening grosbeak
Fork-tailed flycatcher,0,Fork-tailed flycatcher
Fox sparrow,0,Fox sparrow
Greater roadrunner,0,Greater roadrunner
Greater sage-grouse,0,Greater sage-grouse
Greenish elaenia,0,Greenish elaenia
Gyrfalcon,0,Gyrfalcon
Hawaiian coot,0,Hawaiian coot
Hawaiian rail,0,Hawaiian rail
Hermit warbler,0,Hermit warbler
Kermadec petrel,0,Kermadec petrel
King rail,0,King rail
Laughing gull,0,Laughing gull
Lesser frigatebird,0,Lesser frigatebird
Lesser goldfinch,0,Lesser goldfinch
Long-billed murrelet,0,Long-billed murrelet
Louisiana waterthrush,0,Louisiana waterthrush
Marsh sandpiper,0,Marsh sandpiper
Mississippi kite,0,Mississippi kite
Mitred parakeet,0,Mitred parakeet
Mountain bluebird,0,Mountain bluebird
Mourning dove,0,Mourning dove
Mourning warbler,0,Mourning warbler
Narcissus flycatcher,0,Narcissus flycatcher
Northern jacana,0,Northern jacana
Northern parula,0,Northern parula
Pine bunting,0,Pine bunting
Pin-tailed snipe,0,Pin-tailed snipe
Red-bellied woodpecker,0,Red-bellied woodpecker
Red-winged blackbird,0,Red-winged blackbird
Rosy-faced lovebird,0,Rosy-faced lovebird
Sanderling,0,Sanderling
Siberian rubythroat,0,Siberian rubythroat
Sooty shearwater,0,Sooty shearwater
Stygian owl,0,Stygian owl
Tricolored heron,0,Tricolored heron
Trindade petrel,0,Trindade petrel
White tern,0,White tern
White-throated thrush,0,White-throated thrush
White-winged dove,0,White-winged dove
Willow flycatcher,0,Willow flycatcher
Kauai oo,0,Kauai oo
Oahu oo,0,Oahu oo
Bishops oo,0,Bishop's oo
Hawaii oo,0,Hawaii oo
Aberts towhee,1,Abert's towhee
Adelaides warbler,1,Adelaide's warbler
Allens hummingbird,1,Allen's hummingbird
Annas hummingbird,1,Anna's hummingbird
Audubons oriole,1,Audubon's oriole
Audubons shearwater,1,Audubon's shearwater
Bachmans sparrow,1,Bachman's sparrow
Bachmans warbler,1,Bachman's warbler
Bairds sandpiper,1,Baird's sandpiper
Bairds sparrow,1,Baird's sparrow
Belchers gull,1,Belcher's gull
Bells sparrow,1,Bell's sparrow
Bells vireo,1,Bell's vireo
Bendires thrasher,1,Bendire's thrasher
Bewicks wren,1,Bewick's wren
Bicknells thrush,1,Bicknell's thrush
Blyths reed warbler,1,Blyth's reed warbler
Bonapartes gull,1,Bonaparte's gull
Botteris sparrow,1,Botteri's sparrow
Brandts cormorant,1,Brandt's cormorant
Brewers blackbird,1,Brewer's blackbird
Brewers sparrow,1,Brewer's sparrow
Bryans shearwater,1,Bryan's shearwater
Bullers shearwater,1,Buller's shearwater
Bullocks oriole,1,Bullock's oriole
Bulwers petrel,1,Bulwer's petrel
Cassins auklet,1,Cassin's auklet
Cassins finch,1,Cassin's finch
Cassins kingbird,1,Cassin's kingbird
Cassins sparrow,1,Cassin's sparrow
Cassins vireo,1,Cassin's vireo
Chuck-wills-widow,1,Chuck-will's-widow
Clarks grebe,1,Clark's grebe
Clarks nutcracker,1,Clark's nutcracker
Cooks petrel,1,Cook's petrel
Coopers hawk,1,Cooper's hawk
Corys shearwater,1,Cory's shearwater
Costas hummingbird,1,Costa's hummingbird
Couchs kingbird,1,Couch's kingbird
Craveris murrelet,1,Craveri's murrelet
Erckels francolin,1,Erckel's francolin
Feas petrel,1,Fea's petrel
Forsters tern,1,Forster's tern
Franklins gull,1,Franklin's gull
Graces warbler,1,Grace's warbler
Hammonds flycatcher,1,Hammond's flycatcher
Harriss hawk,1,Harris's hawk
Harriss sparrow,1,Harris's sparrow
Heermanns gull,1,Heermann's gull
Henslows sparrow,1,Henslow's sparrow
Huttons vireo,1,Hutton's vireo
Jouanins petrel,1,Jouanin's petrel
Kirtlands warbler,1,Kirtland's warbler
Kittlitzs murrelet,1,Kittlitz's murrelet
Lanai hookbill,1,Lanai hookbill
La Sagras flycatcher,1,La Sagra's flycatcher
Lawrences goldfinch,1,Lawrence's goldfinch
