COMMON_NAME
Adelaides warbler
African silverbill
African stonechat
Aleutian tern
Amazon kingfisher
American flamingo
Antillean nighthawk
Aplomado falcon
Asian brown flycatcher
Audubons shearwater
Aztec thrush
Bachmans sparrow
Bachmans warbler
Bahama mockingbird
Bahama swallow
Bahama woodstar
Baikal Teal
Bananaquit
Barnacle Goose
Barolo shearwater
Bar-tailed godwit
Belchers gull
Bermuda petrel
Berylline hummingbird
Black francolin
Black kite
Black mamo
Black noddy
Black-browed albatross
Black-capped gnatcatcher
Black-capped petrel
Black-cheeked warbler
Black-chinned sparrow
Black-faced grassquit
Black-headed nightingale-thrush
Black-rumped waxbill
Black-tailed godwit
Black-tailed gull
Black-vented oriole
Black-vented shearwater
Black-winged petrel
Black-winged stilt
Blue bunting
Blue mockingbird
Blyths reed warbler
Bonin petrel
Brambling
Bridled tern
Bristle-thighed curlew
Broad-billed sandpiper
Brown jay
Brown noddy
Brown shrike
Brown-backed solitaire
Brown-chested martin
Brown-crested flycatcher
Bryans shearwater
Budgerigar
Bullers shearwater
Bulwers petrel
Bumblebee hummingbird
Cape Verde shearwater
Carolina parakeet
Chatham albatross
Chestnut-bellied sandgrouse
Chinese egret
Chinese sparrowhawk
Cinnamon hummingbird
Citrine wagtail
Clay-colored thrush
Colima warbler
Collared plover
Common black hawk
Common chaffinch
Common chiffchaff
Common cuckoo
Common greenshank
Common redshank
Common redstart
Common ringed plover
Common sandpiper
Common snipe
Common swift
Common waxbill
Cooks petrel
Corn crake
Corys shearwater
Crane hawk
Craveris murrelet
Crescent-chested warbler
Crested auklet
Crimson-collared grosbeak
Crowned slaty flycatcher
Cuban martin
Cuban pewee
Curlew sandpiper
Dark-sided flycatcher
Double-striped thick-knee
Double-toothed kite
Dusky thrush
Dusky warbler
Dusky-capped flycatcher
Eared quetzal
Eastern yellow wagtail
Elf owl
Erckels francolin
Eskimo curlew
Eurasian bullfinch
Eurasian coot
Eurasian curlew
Eurasian dotterel
Eurasian hobby
Eurasian oystercatcher
Eurasian skylark
Eurasian woodcock
Eurasian wryneck
Eyebrowed thrush
Far Eastern curlew
Feas petrel
Fieldfare
Five-striped sparrow
Flame-colored tanager
Flesh-footed shearwater
Golden-crowned warbler
Great auk
Great frigatebird
Great knot
Great shearwater
Great skua
Great spotted woodpecker
Greater amakihi
Greater necklaced laughingthrush
Great-winged petrel
Green kingfisher
Green parakeet
Green sandpiper
Green-breasted mango
Guadalupe murrelet
Hawaii elepaio
Hawaiian crow
Hawaiian hawk
Hawaiian petrel
Hawfinch
Herald petrel
Himalayan snowcock
Hook-billed kite
Indian silverbill
Intermediate egret
Jabiru
Jack snipe
Japanese bush warbler
Japanese quail
Japanese white-eye
Java sparrow
Jouanins petrel
Kalij pheasant
Kamchatka leaf warbler
Kauai elepaio
Kelp gull
Key West quail-dove
Kioea
Kittlitzs murrelet
Kona grosbeak
La Sagras flycatcher
Lanai hookbill
Lanceolated warbler
Large-billed tern
Lavender waxbill
Laysan finch
Laysan honeycreeper
Laysan rail
Least auklet
Lesser akialoa
Lesser whitethroat
Light-mantled albatross
Little bunting
Little curlew
Little egret
Little ringed plover
Little stint
Loggerhead kingbird
Long-tailed jaeger
Long-toed stint
Mangrove swallow
Manx shearwater
Mariana swiftlet
Masked tityra
Maui akepa
Maui nukupuu
Maui parrotbill
McKays bunting
Mexican chickadee
Mexican violetear
Mexican whip-poor-will
Millerbird
Mottled owl
Mottled petrel
Mugimaki flycatcher
Murphys petrel
Nanday parakeet
Newells shearwater
Nihoa finch
Northern lapwing
Northern wheatear
Nuttings flycatcher
Oahu akepa
Oahu alauahio
Oahu amakihi
Oahu elepaio
Oahu nukupuu
Olive sparrow
Olive warbler
Olive-backed pipit
Orange-billed nightingale-thrush
Orange-cheeked waxbill
Oriental cuckoo
Oriental pratincole
Pacific swift
Paint-billed crake
Palila
Pallass leaf warbler
Pallass rosefinch
Parasitic jaeger
Passenger pigeon
Pechora pipit
Pink-footed shearwater
Piratic flycatcher
Plain-capped starthroat
